n: 599, s: 819, Numero de iteraciones: 100, Tiempo estimado de falla: 1.3689899414335587, Desviacion estandar de los tiempos de falla: 0.046758670260378894
n: 236, s: 966, Numero de iteraciones: 100, Tiempo estimado de falla: 4.112902151748605, Desviacion estandar de los tiempos de falla: 0.11596832378707392
n: 821, s: 974, Numero de iteraciones: 100, Tiempo estimado de falla: 1.1964176125036134, Desviacion estandar de los tiempos de falla: 0.04402945043895455
n: 336, s: 576, Numero de iteraciones: 100, Tiempo estimado de falla: 1.7290241142485376, Desviacion estandar de los tiempos de falla: 0.07011678048971229
n: 266, s: 606, Numero de iteraciones: 100, Tiempo estimado de falla: 2.2928964796366227, Desviacion estandar de los tiempos de falla: 0.09951463042781326
n: 87, s: 280, Numero de iteraciones: 100, Tiempo estimado de falla: 3.2547287213522753, Desviacion estandar de los tiempos de falla: 0.1951693141543769
n: 962, s: 721, Numero de iteraciones: 100, Tiempo estimado de falla: 0.7507718616662636, Desviacion estandar de los tiempos de falla: 0.025784881428644584
n: 494, s: 460, Numero de iteraciones: 100, Tiempo estimado de falla: 0.9343633405474999, Desviacion estandar de los tiempos de falla: 0.042777473359399215
n: 753, s: 189, Numero de iteraciones: 100, Tiempo estimado de falla: 0.25409412961019245, Desviacion estandar de los tiempos de falla: 0.01948621186765402
n: 512, s: 43, Numero de iteraciones: 100, Tiempo estimado de falla: 0.08726938270318707, Desviacion estandar de los tiempos de falla: 0.012454528427983986
n: 179, s: 859, Numero de iteraciones: 100, Tiempo estimado de falla: 4.80696805454609, Desviacion estandar de los tiempos de falla: 0.15247343508850886
n: 946, s: 141, Numero de iteraciones: 100, Tiempo estimado de falla: 0.14897803072016344, Desviacion estandar de los tiempos de falla: 0.013209562440742704
n: 24, s: 322, Numero de iteraciones: 2499, Tiempo estimado de falla: 14.067459725430915, Desviacion estandar de los tiempos de falla: 0.9996364745106755
n: 217, s: 373, Numero de iteraciones: 100, Tiempo estimado de falla: 1.722544799346913, Desviacion estandar de los tiempos de falla: 0.0902740231881136
n: 852, s: 547, Numero de iteraciones: 100, Tiempo estimado de falla: 0.6410965760486009, Desviacion estandar de los tiempos de falla: 0.027715293788445023
n: 50, s: 383, Numero de iteraciones: 2499, Tiempo estimado de falla: 7.8330584814770265, Desviacion estandar de los tiempos de falla: 0.9996789994059261
n: 456, s: 662, Numero de iteraciones: 100, Tiempo estimado de falla: 1.4503250442278734, Desviacion estandar de los tiempos de falla: 0.05547750719419654
n: 948, s: 165, Numero de iteraciones: 100, Tiempo estimado de falla: 0.17382176603321253, Desviacion estandar de los tiempos de falla: 0.01396746924495951
n: 328, s: 162, Numero de iteraciones: 100, Tiempo estimado de falla: 0.5016027257378856, Desviacion estandar de los tiempos de falla: 0.04040600052629081
n: 497, s: 120, Numero de iteraciones: 100, Tiempo estimado de falla: 0.24528179952453041, Desviacion estandar de los tiempos de falla: 0.024400579561250437
n: 270, s: 260, Numero de iteraciones: 100, Tiempo estimado de falla: 0.9681420801385197, Desviacion estandar de los tiempos de falla: 0.05680146442682868
n: 623, s: 680, Numero de iteraciones: 100, Tiempo estimado de falla: 1.0974455925580313, Desviacion estandar de los tiempos de falla: 0.03811667438488299
n: 782, s: 468, Numero de iteraciones: 100, Tiempo estimado de falla: 0.6013945706953964, Desviacion estandar de los tiempos de falla: 0.029788439143278927
n: 825, s: 431, Numero de iteraciones: 100, Tiempo estimado de falla: 0.525269192420555, Desviacion estandar de los tiempos de falla: 0.024040804704655593
n: 146, s: 128, Numero de iteraciones: 100, Tiempo estimado de falla: 0.8763800849552583, Desviacion estandar de los tiempos de falla: 0.06918094375232668
n: 645, s: 105, Numero de iteraciones: 100, Tiempo estimado de falla: 0.16634717495953896, Desviacion estandar de los tiempos de falla: 0.014833159345859055
n: 187, s: 573, Numero de iteraciones: 100, Tiempo estimado de falla: 3.059190304172149, Desviacion estandar de los tiempos de falla: 0.1344166391746751
n: 960, s: 93, Numero de iteraciones: 100, Tiempo estimado de falla: 0.09951217112653715, Desviacion estandar de los tiempos de falla: 0.01122813383923308
n: 557, s: 446, Numero de iteraciones: 100, Tiempo estimado de falla: 0.8008866660940539, Desviacion estandar de los tiempos de falla: 0.037777557553758764
n: 282, s: 180, Numero de iteraciones: 100, Tiempo estimado de falla: 0.639087098921526, Desviacion estandar de los tiempos de falla: 0.049326089227181416
n: 117, s: 389, Numero de iteraciones: 100, Tiempo estimado de falla: 3.3403386483405213, Desviacion estandar de los tiempos de falla: 0.18426416619287167
n: 729, s: 15, Numero de iteraciones: 100, Tiempo estimado de falla: 0.02122456311440397, Desviacion estandar de los tiempos de falla: 0.005201681367422632
n: 833, s: 505, Numero de iteraciones: 100, Tiempo estimado de falla: 0.6051890460435393, Desviacion estandar de los tiempos de falla: 0.027824304871454833
n: 652, s: 906, Numero de iteraciones: 100, Tiempo estimado de falla: 1.3953217964464046, Desviacion estandar de los tiempos de falla: 0.04447289420383318
n: 764, s: 417, Numero de iteraciones: 100, Tiempo estimado de falla: 0.543512350675863, Desviacion estandar de los tiempos de falla: 0.02737871032719295
n: 588, s: 990, Numero de iteraciones: 100, Tiempo estimado de falla: 1.6844594130009705, Desviacion estandar de los tiempos de falla: 0.05525865705594971
n: 518, s: 968, Numero de iteraciones: 100, Tiempo estimado de falla: 1.8891488475271496, Desviacion estandar de los tiempos de falla: 0.05717665076609077
n: 544, s: 440, Numero de iteraciones: 100, Tiempo estimado de falla: 0.808739473469862, Desviacion estandar de los tiempos de falla: 0.03984927889730984
